"taxon","mean.elev","sd.elev","mean.lat","sd.lat","mean.long","sd.long","n","ci.elev.low","ci.elev.up","ci.lat.low","ci.lat.up","ci.long.low","ci.long.up"
"Solanum_hastiforme",3283.14285714286,615.093488829137,-7.81658042720408,0.737783128072749,-77.867142092449,0.267624868949819,49,3106.46737888168,3459.81833540403,-8.02849648447434,-7.60466436993382,-77.944012930094,-77.790271254804
"Solanum_hintonii",1717.96666666667,350.347067657333,19.5955,1.06097194411864,-100.34419,0.957839733318752,30,1587.14492160821,1848.78841172512,19.1993265651379,19.9916734348621,-100.701853234452,-99.986526765548
"Solanum_hjertingii",2039.42483660131,476.195582508004,25.1919736405229,1.42784278128107,-100.949598039216,1.3870401443964,153,1963.36431279226,2115.48536041035,24.963910899392,25.4200363816538,-101.171143563371,-100.728052515061
"Solanum_hougasii",2484.22988505747,625.206586919199,19.6648254482759,1.20669417247589,-102.926378126437,1.10290413909473,174,2390.67946139453,2577.78030872041,19.4842663284128,19.8453845681389,-103.091407017096,-102.761349235778
"Solanum_huancabambense",1976.89473684211,929.92984920159,-5.47594955314035,0.41189266604804,-79.5378994514035,0.196568559571251,57,1730.15113530167,2223.63833838254,-5.58523938823495,-5.36665971804576,-79.5900561107256,-79.4857427920814
"Solanum_incasicum",3113.72727272727,794.452527330499,-12.5868391,2.14073745722356,-73.1177034781818,1.89503054413605,11,2580.00680264236,3647.44774281219,-14.0250060926043,-11.1486721073958,-74.3908023205256,-71.844604635838
"Solanum_infundibuliforme",3566.51199165798,687.883284399511,-21.6564521042753,5.66633378958897,-65.9450949760167,1.74043741339994,959,3522.92041485741,3610.10356845854,-22.0155310791076,-21.2973731294429,-66.055387540022,-65.8348024120114
"Solanum_iopetalum",2348.51170046802,581.827825910303,19.0769449297972,1.45963863016353,-99.8717848673947,2.28921618450754,641,2303.38478496791,2393.63861596813,18.963734481292,19.1901553783023,-100.049337849083,-99.6942318857061
"Solanum_kurtzianum",1626.14776119403,709.077023158108,-30.0440446432836,2.44350523900678,-67.8064825208955,1.11163577118564,670,1572.35912644131,1679.93639594675,-30.2294022370636,-29.8586870495036,-67.8908081562236,-67.7221568855674
"Solanum_laxissimum",2629.22463768116,1115.46663351417,-12.2388814282609,1.52620041748074,-73.5235496975362,1.6941897290919,138,2441.45800165736,2816.99127370496,-12.495786932808,-11.9819759237137,-73.8087328636301,-73.2383665314423
"Solanum_lesteri",2127.71428571429,331.637021886451,16.8987555714286,0.690574859383004,-96.9279172857143,0.419749249321087,21,1976.75492323682,2278.67364819175,16.5844096642002,17.213101478657,-97.1189848532538,-96.7368497181747
"Solanum_limbaniense",3253.96875,757.393713403521,-14.19691265625,0.332618026435406,-69.56257478125,0.199333710267717,64,3064.77742948193,3443.16007051807,-14.2799981671749,-14.1138271453251,-69.6123668605899,-69.5127827019101
"Solanum_longiconicum",2353.73885350318,573.752231496112,9.77230739915074,0.401562401408477,-83.8066266284501,0.513129621151317,471,2301.78929857369,2405.68840843268,9.7359485200311,9.80866627827038,-83.8530871979723,-83.7601660589279
"Solanum_maglia",754.587786259542,925.339570687672,-32.7857954198473,2.71247956126614,-70.6145480916031,1.36198465874965,131,594.641084629631,914.534487889453,-33.2546526618873,-32.3169381778074,-70.8499697257126,-70.3791264574935
"Solanum_medians",2454.22764227642,1319.27705862759,-13.0172340591707,2.38364304017639,-75.2563150053426,2.3497908149254,861,2365.98181726103,2542.47346729181,-13.1766748265569,-12.8577932917846,-75.413491413225,-75.0991385974603
"Solanum_microdontum",2188.85055165496,891.947732640904,-24.067647551655,3.35186028961923,-65.4516189418255,0.90879147949855,997,2133.41760139026,2244.28350191967,-24.2759596510406,-23.8593354522693,-65.5080987007177,-65.3951391829332
"Solanum_morelliforme",2262.47909967846,535.621633468241,17.813144192926,1.96378485864131,-95.9228902122186,3.79404799668424,311,2202.7171350133,2322.24106434362,17.5940349673106,18.0322534185415,-96.3462109822323,-95.499569442205
"Solanum_multiinterruptum",3324.22077922078,830.921250196663,-10.7250994759443,1.03700832874198,-77.0084434279592,0.712878216325128,539,3253.91489254727,3394.52666589428,-10.8128427970145,-10.6373561548742,-77.0687614605972,-76.9481253953212
