taxon,MS_PL,ID,CD,CP,AD,AP,outcrossing,selfcompatible,diploid,triploid,tetraploid,pentaploid,hexaploid,polyploid,one.EBN,two.EBN,four.EBN,six.EBN,mean.elev,sd.elev,mean.lat,sd.lat,mean.long,sd.long,Cls.cnt,Cls.mjr
Solanum_longiconicum,CP,0,0,1,0,1,0,1,0,0,1,0,0,1,NA,NA,NA,NA,2353.738854,573.7522315,9.772307399,0.401562401,-83.80662663,0.513129621,4,Cfb
Solanum_maglia,ID,1,0,1,1,1,1,0,1,1,0,0,0,1,NA,NA,NA,NA,754.5877863,925.3395707,-32.78579542,2.712479561,-70.61454809,1.361984659,8,Csb
Solanum_medians,CP,0,0,1,1,1,NA,NA,1,1,0,0,0,1,0,1,0,0,2454.227642,1319.277059,-13.01723406,2.38364304,-75.25631501,2.349790815,6,ET
Solanum_microdontum,ID,1,0,1,1,1,1,0,1,1,0,0,0,1,0,1,0,0,2188.850552,891.9477326,-24.06764755,3.35186029,-65.45161894,0.908791479,10,Cwb
Solanum_morelliforme,CD,0,1,0,1,0,0,1,1,0,0,0,0,0,NA,NA,NA,NA,2262.4791,535.6216335,17.81314419,1.963784859,-95.92289021,3.794047997,5,Cwb
Solanum_multiinterruptum,CP,0,0,1,1,1,NA,NA,1,1,0,0,0,1,0,1,0,0,3324.220779,830.9212502,-10.72509948,1.037008329,-77.00844343,0.712878216,7,ET
Solanum_neocardenasii,A,0,0,0,1,0,NA,NA,1,0,0,0,0,0,NA,NA,NA,NA,1704.703704,830.0252459,-17.87841841,0.549715416,-64.32606656,1.204014077,5,Cfb
Solanum_neorossii,A,0,0,0,1,0,NA,NA,1,0,0,0,0,0,NA,NA,NA,NA,3006.939024,610.9399426,-22.86937805,0.773991173,-65.13811341,0.210974652,4,Cwb
Solanum_neovavilovii,A,0,0,0,1,0,NA,NA,1,0,0,0,0,0,0,1,0,0,3022.263158,620.143428,-14.63543684,0.060007205,-68.94451053,0.264416437,3,ET
Solanum_nubicola,CP,0,0,1,0,1,NA,NA,0,0,1,0,0,1,0,1,0,0,2823.857143,917.0734829,-8.853024971,2.241847312,-76.79299714,0.98025826,5,Cfb
Solanum_okadae,IDCD,1,1,0,1,0,1,1,1,0,0,0,0,0,NA,NA,NA,NA,3138.929032,639.3711715,-19.24482657,3.449840827,-66.58818872,0.80781958,5,Cwb
Solanum_olmosense,A,0,0,0,1,0,NA,NA,1,0,0,0,0,0,0,1,0,0,764.6363636,849.8145762,-5.497485,1.289519275,-79.519605,1.217764734,5,Bsh
Solanum_oxycarpum,CP,0,0,1,0,1,0,1,0,0,1,0,0,1,0,1,0,0,2207.838095,525.2526869,18.6660157,1.413094294,-96.65701856,1.748808524,7,Cfb
Solanum_paucissectum,A,0,0,0,1,0,NA,NA,1,0,0,0,0,0,0,1,0,0,2432.434211,848.3428762,-5.330876987,0.261523363,-79.49170995,0.186415662,5,Bsh
Solanum_pillahuatense,A,0,0,0,1,0,NA,NA,1,0,0,0,0,0,0,1,0,0,2884.0625,675.6246955,-13.229646,0.104142,-71.65865819,0.32150555,3,Cfb
Solanum_piurae,ID,1,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,2327.578947,840.0794109,-5.236081358,0.722397559,-79.52195392,0.620068132,6,Bsh
Solanum_polyadenium,CD,0,1,0,1,0,0,1,1,0,0,0,0,0,NA,NA,NA,NA,2097.158103,317.4121405,19.64290407,0.634465522,-100.0625224,1.674794953,7,Cwb
Solanum_raphanifolium,IDCD,1,1,0,1,0,1,1,1,0,0,0,0,0,0,1,0,0,3559.409091,566.5276942,-13.70156099,0.497008474,-71.8313883,0.596968242,5,ET
Solanum_rhomboideilanceolatum,A,0,0,0,1,0,NA,NA,1,0,0,0,0,0,0,1,0,0,3729.68,702.813579,-9.949908594,1.497167523,-76.80171902,1.361590478,4,ET
Solanum_salasianum,A,0,0,0,1,0,NA,NA,1,0,0,0,0,0,NA,NA,NA,NA,2333.384615,850.4277883,-9.835497692,0.146149261,-75.79813231,0.061758579,1,Cfb
Solanum_schenckii,CP,0,0,1,0,1,0,1,0,0,0,0,1,1,0,0,1,0,2232.572727,469.4406873,18.62180818,1.453805146,-97.50552818,1.308570084,5,Cfb
Solanum_sogarandinum,CP,0,0,1,1,1,NA,NA,1,1,0,0,0,1,0,1,0,0,3382.685535,665.5028473,-8.845409518,1.067103892,-77.66405448,0.547075631,5,Cfb
Solanum_stoloniferum,CP,0,0,1,0,1,0,1,0,0,1,0,0,1,0,1,0,0,2305.484903,467.1250298,24.93004452,5.686951071,-103.6875047,4.294203253,15,Bsk
Solanum_tarnii,A,0,0,0,1,0,NA,NA,1,0,0,0,0,0,NA,NA,NA,NA,2075.272727,270.4776842,20.65040682,0.226906769,-98.9668981,0.437614298,5,Cfb
Solanum_venturii,A,0,0,0,1,0,NA,NA,1,0,0,0,0,0,0,1,0,0,2669.336207,995.8395536,-25.49918218,1.766264937,-65.71797558,0.485560609,4,Cwb
Solanum_vernei,ID,1,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,2542.156479,967.2348474,-25.08078825,2.076050354,-65.52392567,0.594432975,7,Cwb
Solanum_verrucosum,CDCP,0,1,1,1,1,0,1,1,1,1,0,0,1,0,1,0,0,2722.129779,616.8086026,20.5834671,2.151142989,-100.1210307,1.710653339,8,Cwb
Solanum_violaceimarmoratum,ID,1,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,2855.613043,1056.150951,-14.48932437,1.639817804,-70.32163998,2.710239485,8,Cfb
